mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-261.17563,161.65059,70.97283,57.144196,2.5933743,30.729612,14.952283,25.957571,-2.549155,19.442915,2.5501337,17.460018,-11.644061,16.893427,3.8235407,15.195514,-10.134016,16.44979,1.7782645,12.243297,-8.904232,11.867882,4.2121587,9.773539,-7.1737432,11.298989,2429.945612,1586.870943,2246.258585,784.1839721,4730.698201,2547.713482,0.127542832,0.131068031,0.08259906,0.06576319,German
-292.25208,167.12529,66.5573,55.535378,6.897819,27.76907,17.412458,24.969742,0.08820268,18.676775,4.923518,16.38189,-7.852317,17.594864,5.3408756,13.763282,-7.484638,17.43532,3.3135538,12.632623,-7.1967196,12.782272,4.1507835,9.998101,-6.323101,11.802313,2464.044596,1471.338533,2380.880716,696.0199027,4986.767144,2383.543867,0.119951145,0.122119582,0.06828633,0.06167693,German
-274.64127,157.81721,71.780014,58.21321,5.7402554,28.662575,18.83747,25.84311,-0.59236884,19.321747,3.4995494,16.347517,-9.346921,15.959122,5.7472773,14.438417,-10.253751,15.772342,0.9975405,12.472265,-7.7664576,11.054949,3.8015885,10.606328,-6.364454,10.765322,2276.596105,1584.498116,2174.741597,809.6271462,4451.750257,2555.956827,0.11747008,0.132718937,0.07045536,0.055296402,German
-292.6173,151.37682,68.674866,56.68288,9.46944,27.898151,20.995956,24.74445,3.2630792,19.128222,6.890024,15.589017,-10.115039,16.89814,1.783177,15.12622,-10.480206,16.889225,4.335462,11.900419,-5.2915196,11.169621,2.253269,11.564302,-4.3666162,10.947509,2431.938625,1510.653104,2330.191151,693.5259938,4831.196671,2451.826184,0.124694094,0.131844871,0.06621217,0.05761731,German
-245.87802,145.35597,77.16775,57.094032,6.5114365,28.537611,19.041988,25.475456,1.4191564,19.044285,6.1634235,17.326702,-12.583051,17.294338,0.23164943,15.173128,-13.683688,16.905956,3.032544,12.736655,-6.8975577,11.229422,3.973281,10.138822,-9.229328,11.989409,2503.993375,1601.914386,2312.107751,658.6719728,4814.963484,2522.685633,0.134410495,0.13134942,0.08853634,0.06494161,German
-257.82318,159.69028,65.99243,57.421772,9.219455,29.606678,20.076563,26.159426,2.3805835,18.395834,4.862155,16.840767,-12.360922,17.633072,4.601588,14.677646,-12.387835,17.43968,3.6133604,11.833044,-7.010305,11.898053,3.9983315,10.486209,-6.3696527,11.097711,2604.84698,1591.38181,2376.551833,691.9964718,5098.652177,2474.112753,0.134956683,0.135115571,0.09005445,0.07403475,German
-284.33154,169.6645,60.98962,56.091007,6.8857255,28.027275,18.167126,25.122833,1.3707812,18.773338,5.731539,15.636996,-9.934359,16.51092,2.606766,14.920714,-9.603328,17.389946,3.295066,12.569364,-7.3482623,12.491846,4.1652555,10.146848,-7.407191,12.004454,2449.109552,1602.94047,2288.51159,836.7900523,4897.431743,2570.154016,0.122196272,0.13382555,0.08100556,0.07364318,German
-235.69456,118.20864,65.706,51.909542,-42.279655,42.500748,54.200203,26.411509,-18.575531,22.82506,-6.402091,19.274542,10.217312,12.971251,-10.963676,14.21426,-33.54975,15.705113,-13.311844,14.074977,-17.4046,11.528333,3.6042247,11.541682,-18.585436,11.333814,2704.382864,1179.844443,1845.150791,460.5795853,4488.128478,1636.841702,0.179026116,0.109971785,0.0734153,0.048434474,German
-319.19864,144.3757,80.25416,63.94679,6.3899193,29.466042,34.174942,31.590422,5.628935,22.911806,13.040099,16.138737,-0.8812948,16.48688,9.028926,12.878602,4.082978,13.062577,3.8699405,11.132822,-9.996962,15.559885,-0.1993837,11.060452,-2.7984772,11.693219,1799.869967,1224.936539,1953.675274,573.3537277,3523.963612,2162.864849,0.091819315,0.098845853,0.056501817,0.056689654,German
-321.5195,141.22052,82.01776,63.737053,4.0927815,30.185432,36.644035,33.863434,7.4589586,22.52127,11.69828,15.759059,-3.958869,15.873516,8.238246,12.179189,5.8280296,11.878927,6.0018697,10.925213,-10.261729,14.409146,-1.9831195,9.856662,-5.8909245,11.872285,1870.733207,1180.158936,1990.061024,567.6446122,3730.734418,2098.302915,0.09126567,0.093425827,0.052883238,0.049336374,German
