mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-239.64369,130.54001,78.26564,63.12177,6.030964,30.437452,36.182137,29.129715,25.588934,25.748005,13.475484,15.848648,-1.6364503,13.962908,5.0548487,12.72616,-15.235934,13.011304,-3.5022607,12.808832,-12.338055,14.532796,5.7404413,10.195364,-9.165902,10.989899,2229.490644802541,1235.455936972549,2246.168935822995,509.3504943088068,4374.942984998124,2366.6567611153946,0.12157714564572612,0.09690269137122116,0.090177104,0.07258505,German
-302.28006,164.70421,66.5398,58.538727,7.3508315,20.959003,28.243788,27.612804,23.947807,23.620378,11.768559,13.1768465,3.8663628,11.258066,4.413939,12.284362,-12.267726,14.02373,-3.0988362,11.596401,-9.06758,14.206879,6.946103,9.476554,-7.543913,10.80952,2303.6460475922704,1096.8594218629653,2403.560990084602,572.1025117981017,4798.0718994140625,2280.1174032765853,0.11546068948412698,0.08285337620108849,0.06618821,0.06739512,German
-268.2272,150.30501,75.49958,59.9631,8.6917305,26.961098,33.462883,27.985527,25.530718,26.357079,11.426251,15.191948,0.9131789,12.771616,4.50883,13.035219,-14.066138,14.174864,0.26688352,11.178769,-13.54696,14.970932,6.48289,9.603849,-9.183865,11.397583,2304.487710456157,1192.9377118030488,2360.9663388318613,554.0985490579782,4664.988427893771,2371.3537765630076,0.12133443705794342,0.09331233976276809,0.07651849,0.06553678,German
-234.99858,106.24267,78.11042,67.89199,7.965252,35.625336,19.454985,28.130726,-9.77991,18.47277,-5.012855,18.649923,-15.187607,13.789259,0.14041872,14.078637,-16.08566,13.083808,-2.0703964,14.586816,-18.88345,11.4617195,-5.2462506,12.724692,-9.675715,9.9547415,2544.9181592153664,1962.83714951405,2050.6347794735093,717.4035467864256,4447.926754661027,2860.594888689702,0.16816571702299316,0.1661355805227376,0.094356045,0.06585698,German
-230.544,105.91229,71.43462,65.15186,6.7706347,34.809345,17.889923,30.032719,-10.927649,19.012636,-6.2887063,18.374798,-16.25575,14.843128,0.5151086,13.478004,-16.902584,14.187738,-4.141488,13.141048,-16.536472,11.672952,-6.684198,13.164846,-8.199026,9.673923,2560.132982107675,1946.6272095350157,2054.6644338644064,715.5667116616971,4506.94939277943,2819.185928604898,0.16976378866296224,0.16953681697489953,0.10103658,0.07725112,German
-210.05367,102.98358,80.71179,61.801414,0.92860067,36.53407,18.112257,28.717424,-12.674449,21.063854,-10.009606,19.473774,-17.758045,14.252931,0.48244005,13.687592,-17.297466,14.417638,-3.9359553,13.677544,-17.649055,11.101808,-6.0896254,12.83526,-7.4743056,10.297845,2495.908248738384,1860.8006895907065,2062.574199915736,657.2494261837224,4446.062438643042,2689.4734380961986,0.16413672904767135,0.16337142019842907,0.11869317,0.078582056,German
-213.4197,128.26262,72.06705,66.2334,3.5814054,33.702385,14.867938,27.308172,-12.729205,20.218605,-1.7559141,17.184961,-15.887213,14.940733,-0.2558833,13.659065,-12.639033,13.452714,-5.3981037,15.349408,-13.089901,11.494807,-5.6380987,12.079529,-8.484022,9.654678,2409.889116188701,1894.148946739387,1976.6831857591349,820.5079919395713,4282.477703263275,2893.5831090995594,0.15738579404037611,0.15968091382292182,0.13504334,0.105245836,German
-203.82132,118.98363,75.077866,67.74926,10.562756,33.30415,19.965494,28.200407,-7.2733436,18.639694,-1.2822629,16.663649,-16.520678,13.568107,0.9041268,13.472552,-12.651192,13.214792,-5.6070514,13.813108,-15.041036,11.684176,-7.035297,12.781673,-8.8282995,10.534074,2574.1736474349495,2018.8690813436895,2073.7047568519515,735.6875554810351,4514.852878736413,2911.269776430007,0.1721192417184265,0.1772021655102004,0.15393664,0.11718545,German
-197.79282,120.16367,82.46292,61.27692,5.7556453,33.759285,22.391514,29.061129,-9.850481,20.273663,-4.742799,18.581345,-17.622366,15.122635,0.37301868,13.355727,-14.075997,13.603112,-6.364072,15.167507,-16.24092,11.550794,-6.585599,11.868543,-10.839267,10.753782,2399.760110198065,1772.366718407381,2098.9854890799256,655.6136313952503,4345.37666257748,2669.2811020715944,0.1482295433023416,0.15105187701975958,0.15073933,0.10939714,German
-201.57625,117.51912,70.02983,66.212494,8.6618185,33.103634,19.263802,29.439854,-10.295243,20.03285,-3.0496964,17.229862,-14.584983,14.749131,0.81790096,13.370604,-15.958917,13.816292,-3.3650296,13.605955,-17.203766,11.426733,-4.069104,12.835017,-9.231862,10.342585,2672.5119026904804,2002.3815417158896,2099.4926815854915,737.728431647254,4691.6599287712,2849.774694997585,0.1773684134910094,0.17234488401452436,0.13365985,0.09789817,German
